Amazon Link, Title, Author
http://www.amazon.com/exec/obidos/ASIN/0136141390/ref=nosim/deliciousmons-20, Introduction to Logic, Irving M. Copi  Carl Cohen  
http://www.amazon.com/exec/obidos/ASIN/0262012111/ref=nosim/deliciousmons-20, Introduction to Machine Learning, Ethem Alpaydin  
http://www.amazon.com/exec/obidos/ASIN/0470519460/ref=nosim/deliciousmons-20, An Introduction to MultiAgent Systems, Michael Wooldridge  
http://www.amazon.com/exec/obidos/ASIN/1882114566/ref=nosim/deliciousmons-20, An Introduction to Programming in Emacs Lisp, Robert J. Chassell  
http://www.amazon.com/exec/obidos/ASIN/3540288457/ref=nosim/deliciousmons-20, Introduction to Reliable Distributed Programming, Rachid Guerraoui  Luís Rodrigues  
http://www.amazon.com/exec/obidos/ASIN/3000236457/ref=nosim/deliciousmons-20, An Introduction to Seaside,  
http://www.amazon.com/exec/obidos/ASIN/0534950973/ref=nosim/deliciousmons-20, Introduction to the Theory of Computation, Michael Sipser  
http://www.amazon.com/exec/obidos/ASIN/0884271153/ref=nosim/deliciousmons-20, It's Not Luck, Eliyahu M. Goldratt  
http://www.amazon.com/exec/obidos/ASIN/0321349601/ref=nosim/deliciousmons-20, Java Concurrency in Practice, Brian Goetz  Tim Peierls  Joshua Bloch  Joseph Bowbeer  David Holmes  Doug Lea  
http://www.amazon.com/exec/obidos/ASIN/1590593898/ref=nosim/deliciousmons-20, Joel on Software: And on Diverse and Occasionally Related Matters That Will Prove of Interest to Software Developers  Designers  and Managers  and to Those Who  Whether by Good Fortune or Ill Luck  Work with Them in Some Capacity, Joel Spolsky  
http://www.amazon.com/exec/obidos/ASIN/0262660709/ref=nosim/deliciousmons-20, Knowledge Discovery in Databases, Gregory Piatetsky-Shapiro  William J. Frawley  
http://www.amazon.com/exec/obidos/ASIN/1558609326/ref=nosim/deliciousmons-20, Knowledge Representation and Reasoning, Ronald Brachman  Hector Levesque  
http://www.amazon.com/exec/obidos/ASIN/0262570807/ref=nosim/deliciousmons-20, Languages and Compilers for Parallel Computing, David Gelernter  Alexandru Nicolau  David Padua  
http://www.amazon.com/exec/obidos/ASIN/1419644068/ref=nosim/deliciousmons-20, Lean Project Management: Eight Principles For Success, Lawrence P. Leach  
http://www.amazon.com/exec/obidos/ASIN/1563273055/ref=nosim/deliciousmons-20, Lean Software Strategies: Proven Techniques for Managers and Developers, Peter Middleton  James Sutton  
http://www.amazon.com/exec/obidos/ASIN/0743231643/ref=nosim/deliciousmons-20, Lean Thinking: Banish Waste and Create Wealth in Your Corporation, James P. Womack  Daniel T. Jones  
http://www.amazon.com/exec/obidos/ASIN/1435712757/ref=nosim/deliciousmons-20, Let Over Lambda, Doug Hoyte  
http://www.amazon.com/exec/obidos/ASIN/0135327628/ref=nosim/deliciousmons-20, Let's Talk LISP, Laurent Siklossy  
http://www.amazon.com/exec/obidos/ASIN/0201083191/ref=nosim/deliciousmons-20, Lisp, Patrick Winston  Berthold Horn  
http://www.amazon.com/exec/obidos/ASIN/0521545668/ref=nosim/deliciousmons-20, Lisp in Small Pieces, Christian Queinnec  
http://www.amazon.com/exec/obidos/ASIN/0673397734/ref=nosim/deliciousmons-20, Lisp  Objects and Symbolic Programming, Robert R. Kessler  
http://www.amazon.com/exec/obidos/ASIN/0442209746/ref=nosim/deliciousmons-20, Lisp: The Language of Artificial Intelligence, A. A. Berk  
http://www.amazon.com/exec/obidos/ASIN/026256114X/ref=nosim/deliciousmons-20, The Little MLer, Matthias Felleisen  Daniel P. Friedman  
http://www.amazon.com/exec/obidos/ASIN/0262560992/ref=nosim/deliciousmons-20, The Little Schemer - 4th Edition, Daniel P. Friedman  Matthias Felleisen  
http://www.amazon.com/exec/obidos/ASIN/0387517286/ref=nosim/deliciousmons-20, Logic Programming and Databases, Stefano Ceri  G. Gottlob  L. Tanca  
http://www.amazon.com/exec/obidos/ASIN/0201120801/ref=nosim/deliciousmons-20, Looking at Lisp, Tony Hasemer  
http://www.amazon.com/exec/obidos/ASIN/032119442X/ref=nosim/deliciousmons-20, MDA Explained: The Model Driven Architecture(TM): Practice and Promise, Anneke Kleppe  Jos Warmer  Wim Bast  
http://www.amazon.com/exec/obidos/ASIN/052156543X/ref=nosim/deliciousmons-20, ML for the Working Programmer, Lawrence C. Paulson  
http://www.amazon.com/exec/obidos/ASIN/1556150105/ref=nosim/deliciousmons-20, Machinery of the Mind: Inside the New Science of Artificial Intelligence, George Johnson  
http://www.amazon.com/exec/obidos/ASIN/0716721449/ref=nosim/deliciousmons-20, The Magic Machine: A Handbook of Computer Sorcery, A. K. Dewdney  
http://www.amazon.com/exec/obidos/ASIN/0195172116/ref=nosim/deliciousmons-20, Managing Business Complexity: Discovering Strategic Solutions with Agent-Based Modeling and Simulation, Michael J. North  Charles M. Macal  
http://www.amazon.com/exec/obidos/ASIN/159059844X/ref=nosim/deliciousmons-20, Managing Humans: Biting and Humorous Tales of a Software Engineering Manager, Michael Lopp  
http://www.amazon.com/exec/obidos/ASIN/0071374299/ref=nosim/deliciousmons-20, The McKinsey Mind: Understanding and Implementing the Problem-Solving Tools and Management Techniques of the World's Top Strategic Consulting Firm, Ethan Rasiel  Ph.D. Paul N. Friga  
http://www.amazon.com/exec/obidos/ASIN/0070534489/ref=nosim/deliciousmons-20, The McKinsey Way, Ethan Rasiel  
http://www.amazon.com/exec/obidos/ASIN/1574442465/ref=nosim/deliciousmons-20, The Measurement Nightmare: How the Theory of Constraints Can Resolve Conflicting Strategies  Policies  and Measures, Debra Smith  
http://www.amazon.com/exec/obidos/ASIN/0465030912/ref=nosim/deliciousmons-20, The Mind's I: Fantasies and Reflections on Self & Soul, Daniel C. Dennett  Douglas R. Hofstadter  
http://www.amazon.com/exec/obidos/ASIN/1558607544/ref=nosim/deliciousmons-20, Mining the Web: Discovering Knowledge from Hypertext Data, Soumen Chakrabarti  
http://www.amazon.com/exec/obidos/ASIN/8175960728/ref=nosim/deliciousmons-20, Modern Compiler Implementation in Java, Andrew W. Appel  
http://www.amazon.com/exec/obidos/ASIN/0521899435/ref=nosim/deliciousmons-20, Multiagent Systems: Algorithmic  Game-Theoretic  and Logical Foundations, Yoav Shoham  Kevin Leyton-Brown  
http://www.amazon.com/exec/obidos/ASIN/0805303340/ref=nosim/deliciousmons-20, Natural Language Understanding, James Allen  
http://www.amazon.com/exec/obidos/ASIN/0566084503/ref=nosim/deliciousmons-20, Necessary but Not Sufficient: A Theory of Constraints Business Novel, Eliyahu M. Goldratt  Eli Schragenheim  Carol A. Ptak  
http://www.amazon.com/exec/obidos/ASIN/0262132001/ref=nosim/deliciousmons-20, Nested Transactions: An Approach to Reliable Distributed Computing, J. Eliot B. Moss  
http://www.amazon.com/exec/obidos/ASIN/0887304419/ref=nosim/deliciousmons-20, The New Intelligence: Artificial Intelligence Ideas and Applications in Financial Services, Jessica Keyes  
http://www.amazon.com/exec/obidos/ASIN/1579550088/ref=nosim/deliciousmons-20, A New Kind of Science, Stephen Wolfram  
http://www.amazon.com/exec/obidos/ASIN/0716782715/ref=nosim/deliciousmons-20, New Turing Omnibus, A.K. Dewdney  
